instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,28.562505300040357,28.562505300040357,28.562505300040357,28.562505300040357,28.562505300040357,28.562505300040357,28.562505300040357,30.557395600015298,59.76324170001317,59.76324170001317,59.76324170001317,59.76324170001317,59.76324170001317,59.76324170001317,60.040944700012915,60.040944700012915,60.040944700012915,60.040944700012915,60.040944700012915,i,1,1.3951455999631435,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,61.45676420000382,61.45676420000382,61.45676420000382,61.45676420000382,61.45676420000382,61.45676420000382,61.75749550003093,61.75749550003093,61.75749550003093,61.75749550003093,61.75749550003093,e,1,0.7409294999670237,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,62.52321820007637,62.52321820007637,62.52321820007637,62.52321820007637,62.52321820007637,62.52321820007637,62.824123900034465,62.824123900034465,62.824123900034465,62.824123900034465,62.824123900034465,e,1,0.645433200057596,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,63.48998239997309,63.48998239997309,63.48998239997309,63.48998239997309,63.48998239997309,63.48998239997309,63.79077279998455,63.79077279998455,63.79077279998455,63.79077279998455,63.79077279998455,i,1,0.6267601000145078,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,64.4398996999953,64.4398996999953,64.4398996999953,64.4398996999953,64.4398996999953,64.4398996999953,64.7407300999621,64.7407300999621,64.7407300999621,64.7407300999621,64.7407300999621,i,1,0.8144441000185907,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,65.57319470006041,65.57319470006041,65.57319470006041,65.57319470006041,65.57319470006041,65.57319470006041,65.87431139999535,65.87431139999535,65.87431139999535,65.87431139999535,65.87431139999535,i,1,0.6404006000375375,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,,,,,,,,,66.53983330004849,66.53983330004849,66.53983330004849,66.53983330004849,66.53983330004849,66.53983330004849,66.8408841000637,66.8408841000637,66.8408841000637,66.8408841000637,66.8408841000637,i,1,0.5831391999963671,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,,,,,,,,,67.43997609999496,67.43997609999496,67.43997609999496,67.43997609999496,67.43997609999496,67.43997609999496,67.74096119997557,67.74096119997557,67.74096119997557,67.74096119997557,67.74096119997557,e,1,0.6916202999418601,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,68.45690069999546,68.45690069999546,68.45690069999546,68.45690069999546,68.45690069999546,68.45690069999546,68.75790800002869,68.75790800002869,68.75790800002869,68.75790800002869,68.75790800002869,i,1,0.6234134999103844,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,69.40689230000135,69.40689230000135,69.40689230000135,69.40689230000135,69.40689230000135,69.40689230000135,69.7079667999642,69.7079667999642,69.7079667999642,69.7079667999642,69.7079667999642,i,1,0.6696494000498205,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,5,0,10,1,,,,,,,,,70.40691480005626,70.40691480005626,70.40691480005626,70.40691480005626,70.40691480005626,70.40691480005626,70.70785820006859,70.70785820006859,70.70785820006859,70.70785820006859,70.70785820006859,i,1,0.604375800001435,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,,,,,,,71.34015309996903,71.34015309996903,71.34015309996903,71.34015309996903,71.34015309996903,71.34015309996903,71.64112290006597,71.64112290006597,71.64112290006597,71.64112290006597,71.64112290006597,e,1,0.5699079000623897,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,0,12,0,,,,,,,,,72.24005550006405,72.24005550006405,72.24005550006405,72.24005550006405,72.24005550006405,72.24005550006405,72.54105040000286,72.54105040000286,72.54105040000286,72.54105040000286,72.54105040000286,e,1,0.5719164999900386,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,1,13,1,,,,,,,,,73.140043899999,73.140043899999,73.140043899999,73.140043899999,73.140043899999,73.140043899999,73.44125639996491,73.44125639996491,73.44125639996491,73.44125639996491,73.44125639996491,i,1,0.5962353000650182,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,7,0,14,0,,,,,,,,,74.05695250001736,74.05695250001736,74.05695250001736,74.05695250001736,74.05695250001736,74.05695250001736,74.35807039996143,74.35807039996143,74.35807039996143,74.35807039996143,74.35807039996143,e,1,0.7400641000131145,None,0,,,,female,26,008,2022-10-19_16h10.44.099,IAT,2022.2.2,60.00031199002817,
