instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,28.82269009994343,28.82269009994343,28.82269009994343,28.82269009994343,28.82269009994343,28.82269009994343,28.82269009994343,30.817696399986744,62.06992299994454,62.06992299994454,62.06992299994454,62.06992299994454,62.06992299994454,62.06992299994454,62.35159289999865,62.35159289999865,62.35159289999865,62.35159289999865,62.35159289999865,i,1,0.7985011001583189,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,63.16792659997009,63.16792659997009,63.16792659997009,63.16792659997009,63.16792659997009,63.16792659997009,63.468095399904996,63.468095399904996,63.468095399904996,63.468095399904996,63.468095399904996,i,1,0.7144689001142979,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,64.2013596999459,64.2013596999459,64.2013596999459,64.2013596999459,64.2013596999459,64.2013596999459,64.50165079999715,64.50165079999715,64.50165079999715,64.50165079999715,64.50165079999715,i,1,0.7345247999764979,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,65.26792659983039,65.26792659983039,65.26792659983039,65.26792659983039,65.26792659983039,65.26792659983039,65.5683618998155,65.5683618998155,65.5683618998155,65.5683618998155,65.5683618998155,i,1,0.8280574001837522,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,0,4,0,,,,,,,,,66.41826789989136,66.41826789989136,66.41826789989136,66.41826789989136,66.41826789989136,66.41826789989136,66.71835609991103,66.71835609991103,66.71835609991103,66.71835609991103,66.71835609991103,e,1,0.7692791998852044,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,67.51826029992662,67.51826029992662,67.51826029992662,67.51826029992662,67.51826029992662,67.51826029992662,67.81843320000917,67.81843320000917,67.81843320000917,67.81843320000917,67.81843320000917,i,1,2.3845291000325233,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,70.23484199983068,70.23484199983068,70.23484199983068,70.23484199983068,70.23484199983068,70.23484199983068,70.53519620001316,70.53519620001316,70.53519620001316,70.53519620001316,70.53519620001316,e,1,0.7952807999681681,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,71.35147310001776,71.35147310001776,71.35147310001776,71.35147310001776,71.35147310001776,71.35147310001776,71.65180230000988,71.65180230000988,71.65180230000988,71.65180230000988,71.65180230000988,i,1,0.723939900053665,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,72.40151280001737,72.40151280001737,72.40151280001737,72.40151280001737,72.40151280001737,72.40151280001737,72.70193109987304,72.70193109987304,72.70193109987304,72.70193109987304,72.70193109987304,e,1,1.4563949001021683,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,74.18485949980095,74.18485949980095,74.18485949980095,74.18485949980095,74.18485949980095,74.18485949980095,74.48517020000145,74.48517020000145,74.48517020000145,74.48517020000145,74.48517020000145,i,1,0.7742419999558479,None,0,,,,M,25,014,2022-11-17_11h17.08.619,IAT,2022.2.2,59.84179031012841,
