instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,32.432596399999966,32.432596399999966,32.432596399999966,32.432596399999966,32.432596399999966,32.432596399999966,32.432596399999966,34.41851420000012,62.326577199999974,62.326577199999974,62.326577199999974,62.326577199999974,62.326577199999974,62.326577199999974,62.6024632000001,62.6024632000001,62.6024632000001,62.6024632000001,62.6024632000001,i,1,1.3543409999999767,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,63.98521800000003,63.98521800000003,63.98521800000003,63.98521800000003,63.98521800000003,63.98521800000003,64.28579379999996,64.28579379999996,64.28579379999996,64.28579379999996,64.28579379999996,i,1,0.7791050000000723,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,65.08557850000011,65.08557850000011,65.08557850000011,65.08557850000011,65.08557850000011,65.08557850000011,65.3858279000001,65.3858279000001,65.3858279000001,65.3858279000001,65.3858279000001,e,1,0.7540943000001334,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,66.16874400000006,66.16874400000006,66.16874400000006,66.16874400000006,66.16874400000006,66.16874400000006,66.46915970000009,66.46915970000009,66.46915970000009,66.46915970000009,66.46915970000009,e,1,0.6828800000000683,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,67.16890209999997,67.16890209999997,67.16890209999997,67.16890209999997,67.16890209999997,67.16890209999997,67.46909320000009,67.46909320000009,67.46909320000009,67.46909320000009,67.46909320000009,i,1,0.7487252000000808,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,,,,,,,68.23579489999997,68.23579489999997,68.23579489999997,68.23579489999997,68.23579489999997,68.23579489999997,68.53600440000014,68.53600440000014,68.53600440000014,68.53600440000014,68.53600440000014,e,1,0.9616760999999769,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,69.519045,69.519045,69.519045,69.519045,69.519045,69.519045,69.81925139999998,69.81925139999998,69.81925139999998,69.81925139999998,69.81925139999998,e,1,0.7611597000000074,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,,,,,,,,,70.60249290000002,70.60249290000002,70.60249290000002,70.60249290000002,70.60249290000002,70.60249290000002,70.90254219999997,70.90254219999997,70.90254219999997,70.90254219999997,70.90254219999997,e,1,0.7524172000000817,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,71.68547269999999,71.68547269999999,71.68547269999999,71.68547269999999,71.68547269999999,71.68547269999999,71.98598149999998,71.98598149999998,71.98598149999998,71.98598149999998,71.98598149999998,i,1,0.7805304000000888,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,72.78558180000005,72.78558180000005,72.78558180000005,72.78558180000005,72.78558180000005,72.78558180000005,73.08567919999996,73.08567919999996,73.08567919999996,73.08567919999996,73.08567919999996,e,1,0.6897827000000234,None,0,,,,female,22,006,2022-10-12_16h45.16.296,IAT,2022.2.2,60.227829834695896,
