instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,29.313376499922015,29.313376499922015,29.313376499922015,29.313376499922015,29.313376499922015,29.313376499922015,29.313376499922015,31.305457099922933,82.95645639998838,82.95645639998838,82.95645639998838,82.95645639998838,82.95645639998838,82.95645639998838,83.23986650002189,83.23986650002189,83.23986650002189,83.23986650002189,83.23986650002189,i,1,4.693923500017263,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,87.95632330002263,87.95632330002263,87.95632330002263,87.95632330002263,87.95632330002263,87.95632330002263,88.25659529992845,88.25659529992845,88.25659529992845,88.25659529992845,88.25659529992845,i,1,3.0126579999923706,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,91.28967830003239,91.28967830003239,91.28967830003239,91.28967830003239,91.28967830003239,91.28967830003239,91.58997730002739,91.58997730002739,91.58997730002739,91.58997730002739,91.58997730002739,i,1,2.720730600063689,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,94.33970150002278,94.33970150002278,94.33970150002278,94.33970150002278,94.33970150002278,94.33970150002278,94.64013820001855,94.64013820001855,94.64013820001855,94.64013820001855,94.64013820001855,e,1,1.4657867000205442,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,0,4,0,,,,,,,,,96.12320040003397,96.12320040003397,96.12320040003397,96.12320040003397,96.12320040003397,96.12320040003397,96.42351200000849,96.42351200000849,96.42351200000849,96.42351200000849,96.42351200000849,i,1,3.4451547000790015,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,99.88994130003266,99.88994130003266,99.88994130003266,99.88994130003266,99.88994130003266,99.88994130003266,100.18996220000554,100.18996220000554,100.18996220000554,100.18996220000554,100.18996220000554,e,1,1.2575948999729007,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,101.47346100001596,101.47346100001596,101.47346100001596,101.47346100001596,101.47346100001596,101.47346100001596,101.77366850001272,101.77366850001272,101.77366850001272,101.77366850001272,101.77366850001272,i,1,0.9234275999478996,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,102.72348980000243,102.72348980000243,102.72348980000243,102.72348980000243,102.72348980000243,102.72348980000243,103.02352299995255,103.02352299995255,103.02352299995255,103.02352299995255,103.02352299995255,e,1,0.8472942999796942,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,0,8,1,,,,,,,,,103.89007349999156,103.89007349999156,103.89007349999156,103.89007349999156,103.89007349999156,103.89007349999156,104.19026029994711,104.19026029994711,104.19026029994711,104.19026029994711,104.19026029994711,e,1,0.6720980000682175,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,104.89009470003657,104.89009470003657,104.89009470003657,104.89009470003657,104.89009470003657,104.89009470003657,105.1902931999648,105.1902931999648,105.1902931999648,105.1902931999648,105.1902931999648,e,1,0.9571699999505654,None,0,,,,female,26,013,2022-11-14_10h06.09.463,IAT,2022.2.2,60.04339935001582,
