instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,18.368157800054178,18.368157800054178,18.368157800054178,18.368157800054178,18.368157800054178,18.368157800054178,18.368157800054178,20.36583000002429,46.24718789989129,46.24718789989129,46.24718789989129,46.24718789989129,46.24718789989129,46.24718789989129,46.532595600001514,46.532595600001514,46.532595600001514,46.532595600001514,46.532595600001514,e,1,1.38564860005863,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,47.948682999936864,47.948682999936864,47.948682999936864,47.948682999936864,47.948682999936864,47.948682999936864,48.2492511998862,48.2492511998862,48.2492511998862,48.2492511998862,48.2492511998862,i,1,0.8332353001460433,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,49.09872250002809,49.09872250002809,49.09872250002809,49.09872250002809,49.09872250002809,49.09872250002809,49.39921489986591,49.39921489986591,49.39921489986591,49.39921489986591,49.39921489986591,e,1,0.7664920999668539,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,1,3,1,,,,,,,,,50.181638499954715,50.181638499954715,50.181638499954715,50.181638499954715,50.181638499954715,50.181638499954715,50.48259579995647,50.48259579995647,50.48259579995647,50.48259579995647,50.48259579995647,e,1,0.5991636000107974,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,51.09852940007113,51.09852940007113,51.09852940007113,51.09852940007113,51.09852940007113,51.09852940007113,51.39943540003151,51.39943540003151,51.39943540003151,51.39943540003151,51.39943540003151,e,1,0.70211479999125,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,52.131675800075755,52.131675800075755,52.131675800075755,52.131675800075755,52.131675800075755,52.131675800075755,52.43261600006372,52.43261600006372,52.43261600006372,52.43261600006372,52.43261600006372,e,1,0.7316429000347853,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,53.18217599997297,53.18217599997297,53.18217599997297,53.18217599997297,53.18217599997297,53.18217599997297,53.482775300042704,53.482775300042704,53.482775300042704,53.482775300042704,53.482775300042704,i,1,0.5909470000769943,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,54.098827000008896,54.098827000008896,54.098827000008896,54.098827000008896,54.098827000008896,54.098827000008896,54.39937649993226,54.39937649993226,54.39937649993226,54.39937649993226,54.39937649993226,e,1,0.5969581000972539,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,55.0151827998925,55.0151827998925,55.0151827998925,55.0151827998925,55.0151827998925,55.0151827998925,55.316199799999595,55.316199799999595,55.316199799999595,55.316199799999595,55.316199799999595,i,1,0.7452731998637319,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,56.081778899999335,56.081778899999335,56.081778899999335,56.081778899999335,56.081778899999335,56.081778899999335,56.382760300068185,56.382760300068185,56.382760300068185,56.382760300068185,56.382760300068185,e,1,0.7263503998983651,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,0,10,0,,,,,,,,,57.13232079986483,57.13232079986483,57.13232079986483,57.13232079986483,57.13232079986483,57.13232079986483,57.43287859996781,57.43287859996781,57.43287859996781,57.43287859996781,57.43287859996781,i,1,0.8718888000585139,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,,,,,,,58.33192999986932,58.33192999986932,58.33192999986932,58.33192999986932,58.33192999986932,58.33192999986932,58.63285379996523,58.63285379996523,58.63285379996523,58.63285379996523,58.63285379996523,i,1,0.5993296999949962,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,0,12,1,,,,,,,,,59.24891470000148,59.24891470000148,59.24891470000148,59.24891470000148,59.24891470000148,59.24891470000148,59.5494448998943,59.5494448998943,59.5494448998943,59.5494448998943,59.5494448998943,e,1,0.5232965999748558,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,1,13,0,,,,,,,,,60.098534599877894,60.098534599877894,60.098534599877894,60.098534599877894,60.098534599877894,60.098534599877894,60.399494000012055,60.399494000012055,60.399494000012055,60.399494000012055,60.399494000012055,i,1,0.6075181998312473,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,7,0,14,1,,,,,,,,,61.03214169992134,61.03214169992134,61.03214169992134,61.03214169992134,61.03214169992134,61.03214169992134,61.332770799985155,61.332770799985155,61.332770799985155,61.332770799985155,61.332770799985155,e,1,0.5641987998969853,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,7,1,15,0,,,,,,,,,61.915598599938676,61.915598599938676,61.915598599938676,61.915598599938676,61.915598599938676,61.915598599938676,62.21632630005479,62.21632630005479,62.21632630005479,62.21632630005479,62.21632630005479,i,1,0.5937729999423027,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,8,0,16,0,,,,,,,,,62.83194230007939,62.83194230007939,62.83194230007939,62.83194230007939,62.83194230007939,62.83194230007939,63.132829499896616,63.132829499896616,63.132829499896616,63.132829499896616,63.132829499896616,i,1,0.7792398000601679,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,8,1,17,0,,,,,,,,,63.93198970006779,63.93198970006779,63.93198970006779,63.93198970006779,63.93198970006779,63.93198970006779,64.23300580005161,64.23300580005161,64.23300580005161,64.23300580005161,64.23300580005161,i,1,0.6252812000457197,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,9,0,18,1,,,,,,,,,64.88215010007843,64.88215010007843,64.88215010007843,64.88215010007843,64.88215010007843,64.88215010007843,65.1829216000624,65.1829216000624,65.1829216000624,65.1829216000624,65.1829216000624,e,1,0.7907659998163581,None,0,,,,Male,22,011,2022-10-28_11h14.01.776,IAT,2022.2.2,60.06835783621191,
