instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,47.20607390021905,47.20607390021905,47.20607390021905,47.20607390021905,47.20607390021905,47.20607390021905,47.20607390021905,49.16378620010801,135.21349670016207,135.21349670016207,135.21349670016207,135.21349670016207,135.21349670016207,135.21349670016207,135.49912970000878,135.49912970000878,135.49912970000878,135.49912970000878,135.49912970000878,i,1,1.1964815999381244,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,,,,,,,,,136.7156533000525,136.7156533000525,136.7156533000525,136.7156533000525,136.7156533000525,136.7156533000525,137.01577010005713,137.01577010005713,137.01577010005713,137.01577010005713,137.01577010005713,i,1,0.9228705998975784,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,137.9656756001059,137.9656756001059,137.9656756001059,137.9656756001059,137.9656756001059,137.9656756001059,138.26578870019875,138.26578870019875,138.26578870019875,138.26578870019875,138.26578870019875,i,1,0.8116533998399973,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,139.0989794000052,139.0989794000052,139.0989794000052,139.0989794000052,139.0989794000052,139.0989794000052,139.3993227002211,139.3993227002211,139.3993227002211,139.3993227002211,139.3993227002211,i,1,1.0866603998001665,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,140.5156126001384,140.5156126001384,140.5156126001384,140.5156126001384,140.5156126001384,140.5156126001384,140.81599120004103,140.81599120004103,140.81599120004103,140.81599120004103,140.81599120004103,e,1,0.7437534998171031,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,,,,,,,141.58243710012175,141.58243710012175,141.58243710012175,141.58243710012175,141.58243710012175,141.58243710012175,141.88257080013864,141.88257080013864,141.88257080013864,141.88257080013864,141.88257080013864,i,1,0.7990542997140437,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,142.69915660005063,142.69915660005063,142.69915660005063,142.69915660005063,142.69915660005063,142.69915660005063,142.99922740017064,142.99922740017064,142.99922740017064,142.99922740017064,142.99922740017064,i,1,0.6047947998158634,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,143.63222900009714,143.63222900009714,143.63222900009714,143.63222900009714,143.63222900009714,143.63222900009714,143.93264380004257,143.93264380004257,143.93264380004257,143.93264380004257,143.93264380004257,e,1,0.7003356998320669,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,144.6489653000608,144.6489653000608,144.6489653000608,144.6489653000608,144.6489653000608,144.6489653000608,144.9492035000585,144.9492035000585,144.9492035000585,144.9492035000585,144.9492035000585,i,1,0.6754418998025358,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,145.6492067000363,145.6492067000363,145.6492067000363,145.6492067000363,145.6492067000363,145.6492067000363,145.94934849999845,145.94934849999845,145.94934849999845,145.94934849999845,145.94934849999845,e,1,0.604563299799338,None,0,,,,female,24,003,2022-09-28_16h04.45.231,IAT,2022.2.2,59.97882746630034,
