instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,28.056405799929053,28.056405799929053,28.056405799929053,28.056405799929053,28.056405799929053,28.056405799929053,28.056405799929053,30.016674200072885,64.06818039994687,64.06818039994687,64.06818039994687,64.06818039994687,64.06818039994687,64.06818039994687,64.35072940005921,64.35072940005921,64.35072940005921,64.35072940005921,64.35072940005921,e,1,2.677533600013703,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,67.05053330003284,67.05053330003284,67.05053330003284,67.05053330003284,67.05053330003284,67.05053330003284,67.35084429988638,67.35084429988638,67.35084429988638,67.35084429988638,67.35084429988638,i,1,0.8065955000929534,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,,,,,,,,,68.18392029986717,68.18392029986717,68.18392029986717,68.18392029986717,68.18392029986717,68.18392029986717,68.48429669998586,68.48429669998586,68.48429669998586,68.48429669998586,68.48429669998586,e,1,1.179806400090456,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,69.6840419000946,69.6840419000946,69.6840419000946,69.6840419000946,69.6840419000946,69.6840419000946,69.98409270006232,69.98409270006232,69.98409270006232,69.98409270006232,69.98409270006232,e,1,1.7188492000568658,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,71.73411469999701,71.73411469999701,71.73411469999701,71.73411469999701,71.73411469999701,71.73411469999701,72.03426850005053,72.03426850005053,72.03426850005053,72.03426850005053,72.03426850005053,i,1,0.9203064001630992,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,1,5,1,,,,,,,,,72.98405899992213,72.98405899992213,72.98405899992213,72.98405899992213,72.98405899992213,72.98405899992213,73.28425149992108,73.28425149992108,73.28425149992108,73.28425149992108,73.28425149992108,i,1,1.173700800165534,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,0,6,0,,,,,,,,,74.48412550007924,74.48412550007924,74.48412550007924,74.48412550007924,74.48412550007924,74.48412550007924,74.7843343000859,74.7843343000859,74.7843343000859,74.7843343000859,74.7843343000859,e,1,0.9260272001847625,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,1,7,1,,,,,,,,,75.73415730008855,75.73415730008855,75.73415730008855,75.73415730008855,75.73415730008855,75.73415730008855,76.03433880000375,76.03433880000375,76.03433880000375,76.03433880000375,76.03433880000375,i,1,0.7855736000929028,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,76.85064280009829,76.85064280009829,76.85064280009829,76.85064280009829,76.85064280009829,76.85064280009829,77.15103619988076,77.15103619988076,77.15103619988076,77.15103619988076,77.15103619988076,e,1,0.963434100151062,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,,,,,,,,,78.13402960007079,78.13402960007079,78.13402960007079,78.13402960007079,78.13402960007079,78.13402960007079,78.43443610006943,78.43443610006943,78.43443610006943,78.43443610006943,78.43443610006943,e,1,1.0669653001241386,None,0,,,,female,23,002,2022-09-23_10h02.06.696,IAT,2022.2.2,60.05854504005812,
