instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,instructionIMG,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsIMG.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,endBox.started,endBox.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,0,0,0,29.447376400232315,29.447376400232315,29.447376400232315,29.447376400232315,29.447376400232315,29.447376400232315,29.447376400232315,31.441824399866164,71.3232166999951,71.3232166999951,71.3232166999951,71.3232166999951,71.3232166999951,71.3232166999951,71.60947840008885,71.60947840008885,71.60947840008885,71.60947840008885,71.60947840008885,e,1,1.292835300322622,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,1,1,1,,,,,,,,,72.92576010012999,72.92576010012999,72.92576010012999,72.92576010012999,72.92576010012999,72.92576010012999,73.22598910005763,73.22598910005763,73.22598910005763,73.22598910005763,73.22598910005763,i,1,0.79808109998703,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,1,0,2,1,,,,,,,,,74.04246529983357,74.04246529983357,74.04246529983357,74.04246529983357,74.04246529983357,74.04246529983357,74.34275070019066,74.34275070019066,74.34275070019066,74.34275070019066,74.34275070019066,i,1,0.7287229998037219,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,,,,,,,,,75.09252389986068,75.09252389986068,75.09252389986068,75.09252389986068,75.09252389986068,75.09252389986068,75.39282759977505,75.39282759977505,75.39282759977505,75.39282759977505,75.39282759977505,e,1,0.9618910998106003,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,,,,,,,,,76.37591770011932,76.37591770011932,76.37591770011932,76.37591770011932,76.37591770011932,76.37591770011932,76.67621529987082,76.67621529987082,76.67621529987082,76.67621529987082,76.67621529987082,i,1,0.6664771996438503,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,,,,,,,,,77.35918249981478,77.35918249981478,77.35918249981478,77.35918249981478,77.35918249981478,77.35918249981478,77.6595871001482,77.6595871001482,77.6595871001482,77.6595871001482,77.6595871001482,e,1,0.6426630998030305,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,,,,,,,,,78.32583189988509,78.32583189988509,78.32583189988509,78.32583189988509,78.32583189988509,78.32583189988509,78.62610899982974,78.62610899982974,78.62610899982974,78.62610899982974,78.62610899982974,i,1,0.7502189995720983,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,,,,,,,,,79.39270249987021,79.39270249987021,79.39270249987021,79.39270249987021,79.39270249987021,79.39270249987021,79.69275439996272,79.69275439996272,79.69275439996272,79.69275439996272,79.69275439996272,e,1,1.0336372996680439,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,,,,,,,,,80.74259170005098,80.74259170005098,80.74259170005098,80.74259170005098,80.74259170005098,80.74259170005098,81.04300069995224,81.04300069995224,81.04300069995224,81.04300069995224,81.04300069995224,e,1,0.9353723996318877,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
"Part 1 of 7

Put a left finger on the 'E' key for items that belong to the category on the left.
Put a right finger on the 'I' key for items that belong to the category on the right.
Items will appear one at a time.

If you make a mistake, a red X will appear. Press the other key to continue.
GO AS FAST AS YOU CAN while being accurate.

Press 'E' or 'I' when you are ready to start.",Black People,White People, , , ,instr_1.jpg,2,text_trial_type_2,img_trial_type_2,0,0,0,0,4,1,9,1,,,,,,,,,82.00942619983107,82.00942619983107,82.00942619983107,82.00942619983107,82.00942619983107,82.00942619983107,82.3095424999483,82.3095424999483,82.3095424999483,82.3095424999483,82.3095424999483,i,1,0.8731702002696693,None,0,,,,F,26,016,2022-11-30_13h26.40.680,IAT,2022.2.2,59.88310823075985,
